title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""Flight was smooth and uneventful""",Michael Schade,Germany,2024-06-08,Trip Verified,,A380,Solo Leisure,Economy Class,Bangkok to Doha,June 2024,7,4.0,5.0,3.0,5.0,5.0,3,
"unnecessary delay""",Malek Alameh,Qatar,2024-06-06,Trip Verified,,,Solo Leisure,Economy Class,Doha to Beirut,June 2024,3,1.0,1.0,1.0,,1.0,1,no
"""not able to provide the same food""",J Geyre,Canada,2024-06-05,Trip Verified,,,Family Leisure,Economy Class,Doha to Montreal,February 2024,1,1.0,1.0,1.0,1.0,2.0,1,no
"""the 12.55 flight was left""",Sarwan Sktani,Iraq,2024-06-01,Trip Verified,,,Business,Economy Class,Doha to Erbil,June 2024,1,2.0,5.0,4.0,3.0,1.0,2,no
"""seat was narrower than usual""",Thomas Chia,Singapore,2024-06-01,Trip Verified,,Boeing 777,Solo Leisure,Economy Class,Singapore to Nice via Doha,May 2024,1,1.0,5.0,3.0,3.0,4.0,3,no
"""change flights to week later""",M Sharp,Australia,2024-05-31,Trip Verified,,,Family Leisure,Economy Class,Sydney to Dublin via Doha,May 2024,1,,,,,1.0,1,no
"""they lost my luggage""",Adriaen Luijks,Netherlands,2024-05-31,Trip Verified,,,Family Leisure,Economy Class,Amsterdam to Ho Chi Minh City via Doha,October 2023,1,4.0,4.0,4.0,4.0,3.0,1,no
"""I can highly recommend""",E Caredi ,United Kingdom,2024-05-30,Trip Verified,,Boeing 787-9,Family Leisure,Economy Class,Doha to Manchester,February 2024,10,5.0,5.0,4.0,5.0,5.0,5,
"""excellent service onboard""",E Caredi,United Kingdom,2024-05-30,Trip Verified,,Boeing 787-8,Family Leisure,Economy Class,Port Harcourt  to Doha ,March 2024,10,4.0,5.0,4.0,5.0,4.0,5,
1 hour stuck inside a very hot plane,Sal Rodrigues,Poland,2024-05-30,Trip Verified,,Boeing 787,Solo Leisure,Economy Class,Goa to Warsaw via Doha,May 2024,1,1.0,4.0,2.0,1.0,1.0,1,no
"""lost my 7-year-old daughter's luggage and golf clubs""",E Harsten,Cambodia,2024-05-30,Trip Verified,,A350,Family Leisure,Economy Class,Singapore to Edinburgh via Doha,May 2024,1,1.0,4.0,2.0,,1.0,3,no
"""reached out to seek compensation""",T Keane,Cayman Islands,2024-05-30,Trip Verified,,,Couple Leisure,Economy Class,Miami to Davao via Doha,April 2024,1,1.0,1.0,2.0,,1.0,1,no
all expectations met,Peter Pomeranze,United States,2024-05-29,Trip Verified,,A350-900,Solo Leisure,Business Class,Jakarta to Doha,May 2024,9,5.0,4.0,5.0,5.0,4.0,5,
"""Food nothing to write home about""",B Morley,United Kingdom,2024-05-29,Trip Verified,,,Solo Leisure,Business Class,Doha to Cebu,June 2023,6,5.0,5.0,3.0,4.0,4.0,3,
"""crew are really attentive""",Mikaela Loridana,Romania,2024-05-29,Not Verified,I have flown to Doha from Bucharest and all I can say is that is one of the best airlines! They provide excellent service onboard and cabin crew are really attentive towards passengers needs!,A320,Solo Leisure,Business Class,Bucharest to Doha,April 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""cabin staff was gossiping loudly""",Alwaleed Althani,Qatar,2024-05-28,Trip Verified,,A350-900,Solo Leisure,Business Class,Doha to Jiohannesburg,May 2024,7,5.0,3.0,2.0,3.0,5.0,4,
"""Overall a good trip""",G Meares,Lebanon,2024-05-27,Trip Verified,,A350-1000,Solo Leisure,Economy Class,Auckland to Beirut via Doha,May 2024,7,4.0,4.0,4.0,3.0,4.0,4,
"""downgrade from QSuites""",E Wren,United Kingdom,2024-05-27,Trip Verified,,Boeing 777,Couple Leisure,Business Class,Doha to Kuala lumpur ,May 2024,1,2.0,5.0,3.0,1.0,1.0,1,no
"""an excellent airline""",John Duffus,Thailand,2024-05-27,Trip Verified,,A350/777-300,Solo Leisure,Business Class,Edinburgh to Bangkok via Doha,May 2024,10,5.0,5.0,4.0,,5.0,4,
"""definitely choose Qatar Airways again""",T Macaule,Ireland,2024-05-25,Trip Verified,,,Couple Leisure,Economy Class,Dublin to Perth via Doha,May 2024,9,5.0,5.0,5.0,5.0,5.0,4,
Nothing to fault,Ross Clark,United Kingdom,2024-05-21,Not Verified,,A350/A380,Couple Leisure,Economy Class,Edinburgh to Perth via Doha,May 2024,8,3.0,5.0,4.0,4.0,4.0,3,
"""extremely disappointed""",C Hardya,United Arab Emirates,2024-05-20,Trip Verified,,,Family Leisure,Economy Class,Osaka to Dubai via Doha,April 2024,1,1.0,4.0,1.0,3.0,1.0,1,no
"""aircraft will not have Qsuites""",K Halim,United Arab Emirates,2024-05-18,Trip Verified,,Boeing 787,Solo Leisure,Business Class,Doha to Kansai,May 2024,2,3.0,3.0,3.0,3.0,1.0,1,no
staff are helpful and friendly,Shirley van der Merwe,South Africa,2024-05-17,Not Verified,,A350-1000,Couple Leisure,Economy Class,Auckland to Johannesburg via Port Elizabeth,May 2024,9,3.0,5.0,4.0,5.0,4.0,5,
Cannot fault the service,Peter Standen,Vietnam,2024-05-11,Not Verified,,"Dreamliner, Boeing 777",Family Leisure,Economy Class,Birmingham to Ho Chi Minh City via Doha,May 2024,9,4.0,5.0,2.0,4.0,5.0,4,
"""unfriendly and rude to me""",P Karalati,Canada,2024-05-07,Trip Verified,,,Solo Leisure,Economy Class,Bangalore to Chicago via Doha,March 2024,2,2.0,2.0,2.0,,3.0,1,no
"""zero empathy and customer service""",Maryam Tajilrou,Canada,2024-05-07,Trip Verified,,,Solo Leisure,Economy Class,Vancouver to Tehran via Seattle and Doha,May 2024,1,,,,,1.0,1,no
"""late in serving my meal""",E Hassil,France,2024-05-05,Trip Verified,,,Business,Business Class,Hong Kong to Doha,May 2024,2,4.0,3.0,2.0,3.0,2.0,2,no
"""really went above and beyond""",H Nerazi,United States,2024-05-04,Trip Verified,,,Solo Leisure,Economy Class,Seattle to Jeddah via Doha,March 2024,10,5.0,5.0,5.0,4.0,5.0,5,
"""Very good service onboard""",Elias Abdallah,Australia,2024-05-01,Trip Verified,,,Solo Leisure,Economy Class,Melbourne to Dublin via Doha,April 2024,8,4.0,5.0,5.0,5.0,4.0,4,
"""the service was impeccable""",Philomena Kilcline,Australia,2024-04-26,Trip Verified,,,Solo Leisure,Economy Class,London Heathrow to Perth via Doha,April 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""did not include lounge access""",N Carltan,Australia,2024-04-26,Trip Verified,,,Couple Leisure,Business Class,Istanbul to Doha,March 2024,3,3.0,4.0,3.0,5.0,1.0,2,no
"""old business class seats""",Alwaleed Althani,Qatar,2024-04-25,Trip Verified,,A350-900,Family Leisure,Business Class,Johannesburg to Doha,April 2024,5,4.0,4.0,1.0,3.0,4.0,2,
vegan meal option impressed me,B Harsen,Cyprus,2024-04-24,Trip Verified,,"A320, Boeing 787",Couple Leisure,Economy Class,Larnaca to Colombo via Doha,February 2024,5,2.0,4.0,5.0,4.0,4.0,3,
service was fantastic,Alwaleed Althani,Qatar,2024-04-17,Trip Verified,,Boeing 788,Family Leisure,Business Class,Doha to Durban,April 2024,10,4.0,5.0,5.0,5.0,5.0,4,
"""did not entitle me to lounge access""",R Mayes,Australia,2024-04-17,Trip Verified,,,Business,Business Class,Gatwick to Sydney via Doha,April 2024,1,3.0,1.0,4.0,2.0,1.0,1,no
Flight attendants are polite,Yu-Hsiu Chang,Taiwan,2024-04-15,Not Verified,,A350-900 and Boeing 777-300ER,Solo Leisure,Economy Class,Singapore to Athens via Doha,April 2024,9,5.0,5.0,5.0,,5.0,5,
"""long wait for buses""",Hassan Halaoui,Kuwait,2024-04-13,Trip Verified,,,Solo Leisure,Economy Class,Phuket to Kuwait via Doha,April 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""Overall a good flight""",Michael Schade,Germany,2024-04-10,Trip Verified,,Boeing 777-300ER,Solo Leisure,Business Class,Frankfurt to Doha,April 2024,8,3.0,5.0,3.0,5.0,5.0,3,
"""did make up for our disappointment""",Chris Walsh,United Kingdom,2024-04-09,Trip Verified,,A350,Couple Leisure,Business Class,Manchester to Doha,April 2024,6,3.0,2.0,3.0,2.0,4.0,4,
"""an enjoyable experience""",L Colvin,Kuwait,2024-04-08,Trip Verified,,,Solo Leisure,Economy Class,Rome to Kuwait via Doha,March 2024,9,5.0,5.0,5.0,4.0,5.0,5,
"""compensate us for half of the bags value""",M Melcon,Netherlands,2024-04-05,Trip Verified,,,Couple Leisure,Economy Class,Amsterdam to Phnom Penh via Doha,February 2024,2,4.0,4.0,4.0,4.0,1.0,1,no
"""not enough food for the 6h flight""",Michael Schade,Germany,2024-04-03,Trip Verified,,Boeing 787-8,Solo Leisure,Economy Class,Munich to Doha,March 2024,7,3.0,4.0,1.0,5.0,5.0,2,
"""a great flight""",Mike Flynn,United Kingdom,2024-04-03,Trip Verified,,A350,Business,Business Class,Doha to London Heathrow,March 2024,9,5.0,5.0,5.0,4.0,5.0,5,
"""What a disappointment""",Mike Flynn,United Kingdom,2024-04-03,Trip Verified,,A330,Business,Business Class,Colombo to Doha,March 2024,7,2.0,5.0,4.0,4.0,4.0,2,
"""happy to fly with Qatar again""",F Turner,United Kingdom,2024-04-01,Trip Verified,,,Couple Leisure,Economy Class,Manchester to Kuala Lumpur via Doha,March 2024,10,5.0,5.0,5.0,4.0,5.0,5,
"""expectedly outstanding""",Rajan Parrikar,Iceland,2024-04-01,Trip Verified,,Boeing 787-8,Couple Leisure,Business Class,Goa to Doha,February 2024,10,5.0,5.0,4.0,,5.0,4,
"""always received fantastic service""",Harri Rissanen,Finland,2024-04-01,Trip Verified,,,Solo Leisure,Business Class,Bangkok to Doha,March 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""blame each other for the delay""",Tom Carr,United Kingdom,2024-04-01,Trip Verified,,,Couple Leisure,Economy Class,Mumbai to London via Doha,February 2024,1,3.0,1.0,,,1.0,1,no
"""Left my mobile phone on flight""",P Barrett,United Kingdom,2024-04-01,Trip Verified,,,Couple Leisure,Economy Class,Manchester to Doha,March 2024,1,3.0,3.0,2.0,4.0,3.0,1,no
"""American Airlines is lowering the standard""",K Hadijar,United States,2024-03-31,Trip Verified,,,Couple Leisure,Economy Class,Doha to Philadelphia,March 2024,6,4.0,1.0,2.0,2.0,5.0,4,
QSuite was exceptional,Jim McMahon,Australia,2024-03-31,Trip Verified,,Boeing 777-ER,Solo Leisure,Business Class,"Manchester, UK to Doha, Qatar",March 2024,8,5.0,5.0,5.0,3.0,5.0,5,
"""I claimed for the delay""",Mohammed Gother,United Kingdom,2024-03-28,Not Verified,,Boeing 787 / 777,Couple Leisure,Business Class,Manchester to Kuala Lumpur via Doha,February 2024,6,2.0,5.0,3.0,3.0,5.0,5,
"""the footrest is too narrow""",Michael Schade,Germany,2024-03-28,Trip Verified,,Boeing 787-99,Solo Leisure,Business Class,Doha to Frankfurt,March 2024,5,3.0,1.0,3.0,5.0,4.0,3,
"""Everything was perfect""",Nicolas Rabazzani,France,2024-03-27,Trip Verified,,Boeing 777,Business,Business Class,Doha to Paris,March 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""Overall a very good flight""",Michael Schade,Germany,2024-03-26,Trip Verified,,A332,Solo Leisure,Business Class,Colombo to Doha,March 2024,9,5.0,5.0,3.0,4.0,5.0,4,
"""was never addressed by name""",S Landers,United Kingdom,2024-03-22,Trip Verified,,A350,Couple Leisure,Business Class,Doha to London,January 2024,6,5.0,3.0,5.0,5.0,3.0,2,
service great as always,Michael Schade,Germany,2024-03-19,Trip Verified,,Boeing 788,Business,Business Class,Doha to Colombo,March 2024,6,4.0,5.0,1.0,4.0,4.0,3,
"""Would fly with them again""",E Calensca,Australia,2024-03-19,Trip Verified,,Boeing 777,Couple Leisure,Economy Class,Doha to Melbourne,February 2024,9,4.0,5.0,5.0,4.0,5.0,5,
"""flights were steady enough""",Richard Laycock,United Kingdom,2024-03-18,Trip Verified,,Boeing 777-300,Solo Leisure,Economy Class,Manchester to Bangkok via Doha,March 2024,6,3.0,4.0,2.0,3.0,4.0,2,
"""Will recommend to others""",Harvinder Bakhtawar,Germany,2024-03-13,Not Verified,,,Family Leisure,Economy Class,Munich to Kuala Lumpur via Doha,February 2024,9,4.0,5.0,5.0,5.0,5.0,5,
"""just one meal on this flight""",S Maschel,Netherlands,2024-03-13,Trip Verified,,Boeing 789,Business,Economy Class,Doha to Frankfurt,March 2024,2,2.0,2.0,1.0,5.0,4.0,1,no
"""given completely different seats""",Daniela Pachova,Bulgaria,2024-03-10,Trip Verified,,,Couple Leisure,Economy Class,Bangkok to Sofia via Doha,March 2024,3,2.0,3.0,,,2.0,2,no
"""Very happy with Qatar Airways""",Juliet Mowbray,Sweden,2024-03-09,Not Verified,,,Couple Leisure,Economy Class,Zanzibar to Doha,March 2024,8,4.0,4.0,5.0,4.0,5.0,4,
"""Service and catering very good""",Michael Schade,Germany,2024-03-09,Trip Verified,,Boeing 777ER,Solo Leisure,Business Class,Bangkok to Doha,March 2024,8,5.0,5.0,5.0,2.0,5.0,4,
marred by inconveniences,Mary Le,United Kingdom,2024-03-02,Not Verified,,,Solo Leisure,Economy Class,Tokyo to London Heathrow via Doha,March 2024,1,1.0,2.0,2.0,1.0,1.0,1,no
"""seat wouldn't stay up""",Brian English,Canada,2024-02-29,Trip Verified,,,Couple Leisure,Business Class,Doha to Montreal,February 2024,1,1.0,1.0,,2.0,1.0,1,no
"""no attempt to address our complaint""",Wayne Burgess,Australia,2024-02-29,Trip Verified,,A380,Business,Economy Class,Doha to Perth,November 2023,1,2.0,3.0,2.0,2.0,1.0,1,no
I hope they update the A380,Alwaleed Althani,Qatar,2024-02-25,Trip Verified,,A380-800,Couple Leisure,First Class,Doha to London Heathrow ,February 2024,10,5.0,5.0,4.0,3.0,5.0,4,
"""I’d rate them maybe 7/10""",W Warnock,United Kingdom,2024-02-22,Trip Verified,,A350,Couple Leisure,Business Class,Auckland to Doha,February 2024,7,3.0,3.0,4.0,4.0,4.0,4,no
"""remarkable experience""",Qandeel Ahtasham,United Kingdom,2024-02-20,Trip Verified,,A380,Family Leisure,Business Class,Doha to London,February 2024,10,5.0,5.0,5.0,5.0,5.0,5,
incredible service,N Foster,United States,2024-02-20,Not Verified,,A350-1000,Family Leisure,Economy Class,New Delhi to San Francisco ,February 2024,10,5.0,5.0,5.0,5.0,4.0,5,
"""not the extraordinary experience""",C Barker,Germany,2024-02-16,Trip Verified,,Boeing 787-9 / A330-300,Couple Leisure,Economy Class,Dusseldorf to Kilimanjaro via Doha,January 2024,7,5.0,4.0,3.0,5.0,4.0,5,
"""can’t get it any better""",B Darnel,Germany,2024-02-15,Trip Verified,,Boeing 787 / 777,Business,Business Class,Frankfurt to Melbourne via Doha,February 2024,10,5.0,5.0,5.0,5.0,4.0,5,
"""refuse to fully reimburse me""",L Han,United States,2024-02-14,Trip Verified,,,Solo Leisure,Business Class,New York to Johannesburg via Doha,November 2023,4,3.0,5.0,4.0,4.0,1.0,3,no
"""Inflight entertainment was top notch""",M Leasen,United States,2024-02-12,Trip Verified,,,Solo Leisure,Economy Class,Chicago to Dubai via Doha,January 2024,6,3.0,3.0,5.0,4.0,1.0,2,no
"""definitely recommend them""",C Mansouri,Qatar,2024-02-03,Trip Verified,,,Couple Leisure,Economy Class,Nice to Doha,January 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""No other airline comes anywhere close""",R Turnley,Australia,2024-02-03,Trip Verified,,Boeing 777-300,Solo Leisure,Business Class,Doha to Adelaide,January 2024,7,5.0,5.0,5.0,4.0,3.0,5,
it was not the standard expected,Peter Dyson,United Kingdom,2024-01-27,Trip Verified,,Boeing 777,Business,Business Class,Penang to Doha via Phuket,January 2024,1,5.0,1.0,1.0,4.0,5.0,4,
"""Bags didn’t came on time""",Dipal Patel,United States,2024-01-26,Not Verified,,,Family Leisure,Economy Class,Ahmedabad to Detroit via Doha,January 2024,1,1.0,1.0,1.0,,1.0,1,no
"""no covered canopy on the stairs""",P Craig,Australia,2024-01-25,Trip Verified,,,Solo Leisure,Economy Class,Tbilisi to Doha,December 2023,2,3.0,4.0,4.0,1.0,1.0,1,
cabin crews are friendly and professional,Karen Chan,Singapore,2024-01-22,Trip Verified,,A350-900/1000,Solo Leisure,Economy Class,Spain to Singapore via Doha,January 2024,8,5.0,5.0,4.0,5.0,5.0,4,
"""genuine warmth and hospitality""",David Owen,Australia,2024-01-18,Trip Verified,,A380,Solo Leisure,First Class,London to Perth via Doha,January 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""Four excellent flights""",G Meares,Lebanon,2024-01-17,Trip Verified,,A350-1000,Solo Leisure,Economy Class,Beirut to Auckland via Doha,January 2024,8,4.0,5.0,4.0,4.0,4.0,4,
"""lack of empathy""",Aled Davies,United Kingdom,2024-01-15,Trip Verified,,,Business,Economy Class,Gatwick to Erbil via Doha,January 2024,1,1.0,1.0,,,1.0,1,no
"""offered me a ridiculous compensation""",A Qarani,United Kingdom,2024-01-14,Trip Verified,,,Business,Business Class,Bali to London via Doha,January 2024,1,1.0,3.0,2.0,1.0,1.0,1,no
Flawless onboard service,Rajan Parrikar,Iceland,2024-01-13,Trip Verified,,Boeing 787-8,Couple Leisure,Business Class,Doha to Goa,January 2024,10,5.0,5.0,3.0,4.0,5.0,4,
lived up to its reputation,Rajan Parrikar,Iceland,2024-01-13,Trip Verified,,Boeing 787-9 ,Couple Leisure,Business Class,Copenhagen to Doha ,January 2024,10,5.0,5.0,3.0,4.0,4.0,4,
"""received a below average""",Nazir Ahmed,United Kingdom,2024-01-12,Trip Verified,,,Solo Leisure,Economy Class,Doha to Brussels,January 2024,1,2.0,1.0,1.0,,3.0,1,no
"""Flight to Doha was good""",F Carsen,United States,2024-01-12,Trip Verified,,A350,Couple Leisure,Business Class,Dallas Ft Worth to Doha ,January 2024,8,5.0,3.0,5.0,5.0,2.0,4,
"""found the cabin crew very professional""",Clive Sayers,Australia,2024-01-11,Trip Verified,,,Solo Leisure,Business Class,Manchester to Adelaide via Doha,January 2024,10,5.0,5.0,5.0,4.0,4.0,4,
"""extraordinary efficiency and professionality""",Theo Anastasakis,Greece,2024-01-11,Trip Verified,,A350 / Boeing 787,Couple Leisure,Economy Class,Athens to Kolkata via Doha,December 2023,8,3.0,5.0,5.0,,3.0,4,
staff were absolutely wonderful,Line Maria Flege,Denmark,2024-01-09,Trip Verified,,,Couple Leisure,Economy Class,Ho Chi Minh to Doha,January 2024,10,4.0,5.0,5.0,5.0,5.0,5,
"""great catering and service""",Michael Schade,Germany,2024-01-07,Trip Verified,,Boeing 789 / 773,Business,Business Class,Düsseldorf to Bangkok via Doha,December 2023,5,5.0,4.0,4.0,4.0,1.0,2,
"""attempts to obtain a partial refund were ignored""",Francesco Leonardi,Switzerland,2024-01-05,Trip Verified,,Boeing 777-300,Solo Leisure,Business Class,Doha to Bangkok,December 2023,1,1.0,3.0,3.0,1.0,3.0,1,no
"""crew was enthusiastic and helpful""",Michael Schade,Germany,2023-12-20,Trip Verified,,Boeing 787-9,Solo Leisure,Economy Class,Doha to Frankfurt,December 2023,9,5.0,5.0,4.0,5.0,4.0,4,
"""seats narrow and uncomfortable""",M Haeles,Belgium,2023-12-20,Trip Verified,,Boeing 773,Couple Leisure,Economy Class,Bangkok to Doha,December 2023,6,2.0,3.0,3.0,2.0,4.0,3,
"""Service was excellent""",Lyn Smithies,Australia,2023-12-19,Not Verified,,A380,Couple Leisure,Economy Class,Doha to Sydney,November 2023,9,5.0,5.0,4.0,5.0,4.0,5,
"""I would expect a part refund""",M Miron,United Kingdom,2023-12-18,Trip Verified,,,Solo Leisure,Economy Class,Ho Chi Minh City to Manchester via Doha,December 2023,1,1.0,1.0,1.0,1.0,1.0,1,no
"""Overall excellent experience""",Beata Assaad,Kuwait,2023-12-17,Trip Verified,,Boeing 787,Solo Leisure,Economy Class,Kuwait to Warsaw via Doha,December 2023,10,4.0,5.0,5.0,5.0,5.0,5,
"""all time most pleasant flight""",Mohamed Alkowari,Bahrain,2023-12-13,Trip Verified,,,Solo Leisure,Economy Class,Dubai to Tokyo via Doha,November 2023,10,5.0,5.0,5.0,5.0,5.0,5,
a level of service second to none,Dev Raghav Handa,United Arab Emirates,2023-12-11,Not Verified,,A350,Business,Business Class,Dubai to Delhi via Doha,November 2023,10,3.0,5.0,4.0,4.0,5.0,5,
"""I will be using Qatar Airways in future""",Craig Cutts,United Kingdom,2023-12-09,Trip Verified,,A380 / 777-300ER / A350,Couple Leisure,Economy Class,London to Kuala Lumpur via Doha,December 2023,9,4.0,5.0,5.0,5.0,5.0,4,
"""Very nice flights with Qatar Airways""",Cesare Recalcati,Italy,2023-12-04,Trip Verified,,A350 / Boeing 777,Couple Leisure,Economy Class,Milan to Salalah via Doha,December 2023,9,4.0,5.0,4.0,3.0,2.0,5,
seats were really uncomfortable,C Dawson,Australia,2023-11-29,Trip Verified,,Boeing 777-300ER,Couple Leisure,Economy Class,Brisbane to Amsterdam via Doha,October 2023,6,2.0,4.0,5.0,5.0,4.0,4,no
"""I should have checked my luggage""",C Hallam,South Africa,2023-11-25,Trip Verified,,,Business,Economy Class,Doha to Johannesburg,November 2023,3,2.0,3.0,3.0,3.0,1.0,2,no
"""we had to repack twice""",D Murlen,Switzerland,2023-11-24,Trip Verified,,,Couple Leisure,Economy Class,Mahé to Doha,November 2023,6,3.0,4.0,4.0,4.0,1.0,3,no
"""Seats are too narrow""",R Rutgers,Netherlands,2023-11-24,Trip Verified,,,Family Leisure,Economy Class,Lusaka to Doha,November 2023,2,1.0,3.0,2.0,3.0,1.0,1,no
"""The food was sub par""",James Goldie,United Arab Emirates,2023-11-19,Trip Verified,,Boeing 777-300 er,Solo Leisure,Business Class,Istanbul to Dubai via Doha,November 2023,3,2.0,1.0,1.0,1.0,3.0,4,no
"""Both flights were excellent""",S Barker,United Kingdom,2023-11-18,Trip Verified,,A350 / Boeing 787,Solo Leisure,Economy Class,Melbourne to Manchester via Doha,October 2023,8,4.0,5.0,4.0,4.0,5.0,5,
"""My grievances were ignored""",Kiasha Pettigrew,United States,2023-11-16,Trip Verified,,,Solo Leisure,Economy Class,New York to Tbilisi via Doha,October 2023,1,1.0,2.0,,,1.0,1,no
"""crew level has come down""",Sahil Goel,United States,2023-11-11,Trip Verified,,,Couple Leisure,Business Class,Seattle to Delhi via Doha,November 2023,5,5.0,2.0,2.0,3.0,3.0,3,no
"""seats were narrow and uncomfortable""",S Halden,Belgium,2023-11-11,Trip Verified,,Boeing 787,Solo Leisure,Economy Class,Brussels to Doha,November 2023,2,2.0,3.0,1.0,4.0,4.0,1,no
"""my favorite airline at the moment""",RM Sinnott,Australia,2023-11-07,Not Verified,,A380 / Boeing 787,Solo Leisure,Economy Class,Perth to Lyon via Doha,November 2023,10,4.0,5.0,5.0,4.0,5.0,5,
"""Food could be improved""",D Marsen,Sweden,2023-11-06,Trip Verified,,A350-1000,Solo Leisure,Business Class,Denpasar to Doha ,November 2023,9,5.0,5.0,4.0,5.0,4.0,4,
"""comfort and quality all top""",D Marsen,Sweden,2023-11-06,Trip Verified,,Boeing 787-8,Solo Leisure,Business Class,Doha to Denpasar ,October 2023,9,5.0,5.0,4.0,5.0,4.0,4,
"""an excelent trip""",D Marsen,Sweden,2023-11-06,Trip Verified,,Boeing 787-9,Solo Leisure,Business Class,Stockholm to Doha ,October 2023,9,5.0,5.0,4.0,5.0,4.0,4,
"""flight attendant Erica was amazing""",Tarig Eltigani,United States,2023-11-02,Trip Verified,,A350,Solo Leisure,Economy Class,Doha to Washington,November 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""paid out the initial compulsory delayed compensation """,S Parker,United Kingdom,2023-11-02,Trip Verified,,,Business,Business Class,London to Luanda via Doha,June 2023,1,3.0,4.0,1.0,1.0,1.0,1,no
"""there were no transfer counters""",Anders Pedersen,Denmark,2023-10-31,Trip Verified,,A350-900Q,Solo Leisure,Economy Class,Riyadh to Doha,October 2023,6,3.0,3.0,2.0,2.0,1.0,4,
"""A350 is good and comfortable""",Charles Price,France,2023-10-30,Trip Verified,,A350 / Boeing 787,Solo Leisure,Economy Class,Zurich to Lusaka via Doha,October 2023,5,4.0,2.0,2.0,4.0,2.0,2,no
"""friendly cabin staff service""",M Gatari,United Kingdom,2023-10-29,Trip Verified,,,Solo Leisure,Economy Class,Singapore to Milan via Doha,October 2023,8,5.0,5.0,5.0,5.0,5.0,5,
"""Qatar delivers top notch at times""",Anders Pedersen,Denmark,2023-10-28,Trip Verified,,B777-300,Solo Leisure,Economy Class,doh to kwi,October 2023,10,4.0,5.0,5.0,4.0,5.0,4,
"""Thank you for the great experience""",Richard Ofiera,Germany,2023-10-27,Not Verified,,Boeing 787-9,Family Leisure,Economy Class,Oslo to Doha,October 2023,9,4.0,5.0,5.0,5.0,4.0,5,
"""Overall nice experience""",Alok Mishra,Nepal,2023-10-27,Trip Verified,,A330-300 /  Boeing 777-200Lr,Family Leisure,First Class,Kathmandu to Sao Paulo via Doha,October 2023,9,4.0,5.0,5.0,4.0,4.0,4,
"""airline has nice seats""",Mustafa Manzoor,United States,2023-10-26,Not Verified,,,Family Leisure,Economy Class,Doha to Chicago,October 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""issues on the ground""",Michael Schade,Germany,2023-10-25,Trip Verified,,A380 / Boeing 789,Solo Leisure,Business Class,Bangkok to Brussels via Doha,October 2023,5,4.0,5.0,4.0,4.0,1.0,2,
"""the cabin crew was super nice""",S Han,China,2023-10-21,Trip Verified,,,Solo Leisure,Economy Class,Doha to Seattle,October 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""Another great experience""",Gina Monguia,France,2023-10-16,Trip Verified,,,Solo Leisure,Economy Class,Paris to Melbourne via Doha ,October 2023,10,5.0,5.0,4.0,5.0,5.0,4,
"""absolutely lovely experience""",A Halshan,Kuwait,2023-10-11,Trip Verified,"It was an absolutely lovely experience and the cabin crew were all very accommodating and excellent, I would like to personally thank Joseph and Tom for making our flight as comfortable as possible.",,Couple Leisure,Business Class,Vienna to Kuwait via Doha,October 2023,10,5.0,5.0,5.0,4.0,4.0,4,
"""Toilets were a mess""",P Pearson,United Kingdom,2023-10-11,Trip Verified,,A330,Business,Economy Class,Colombo to Doha,October 2023,7,3.0,5.0,5.0,2.0,3.0,4,
"""IFE is exceptional""",P Pearson,United Kingdom,2023-10-11,Trip Verified,,Boeing 777ER,Business,Economy Class,Doha to London Heathrow,October 2023,10,5.0,5.0,5.0,5.0,4.0,4,
"""Offered me 10,000 avios as compensation""",N Putul,Australia,2023-10-10,Trip Verified,,A350-1000,Business,Business Class,Doha to Singapore,September 2023,1,1.0,1.0,3.0,5.0,,1,no
"""spoiled by the ground staff at Doha""",Tony Halliwell,United Arab Emirates,2023-10-07,Trip Verified,"Wonderful experience spoiled by the ground staff at Doha. The flight from London Heathrow started out amazingly with the service at the premium check-in and passage through the security fast lane. The Qatar premium lounge at Heathrow is an oasis of calm and the food and drinks are excellent. Some of the staff lacked the polished 5 star touch. Service and comfort on our A380, although not the new q-suites, was excellent. Delicious food for breakfast and lunch. A stark contrast to the poor offerings on our outbound flight. The seats were comfortable. The Heathrow flight arrived at an A-Gate and the Dubai flight departed from C-gate. When we got to the C-gate we politely asked if there was a lounge close to the gate and received a very terse and rude no response from the Qatar Airways lady who was setting up the gate. Business/first passengers were made to hang around for 30 minutes whilst economy class passengers were bussed out to the plane. Not the service we paid for. Service on the flight to Dubai (A350) was good and the seats comfortable.",A380,Couple Leisure,Business Class,London Heathrow to Dubai via Doha,October 2023,8,4.0,5.0,5.0,4.0,2.0,4,
